name,party,Constituency & State,gender,is_nominated,nth loksabha
"Gupta,Shri Ram Krishan",Congress,Mohindergarh (Patiala and East Punjab States ),male,0,1
"Gupta,Shri Sadhan Ch.",CP,Calcutta East (West Bengal ),male,0,1
"Gurupadaswamy,Shri M.S.",KMPP,Mysore (Mysore ),male,0,1
"Hansda,Shri Benjamin",Jharkhand,Purnea cum Santhal Paragnas-ST (Bihar ),male,0,1
"Hansda,Shri Subodh Chandra",Congress,Midnapore Jhargram-ST (West Bengal ),male,0,1
"Hari Mohan,Dr.",Congress,Manbhum North-SC (Bihar ),male,0,1
"Hazarika,Shri J.N.",Congress,Dibrugarh (Assam ),male,0,1
"Heda,Shri Harish Chandra",Congress,Nizamabad (Hyderabad ),male,0,1
"Hem Raj,Shri",Congress,Kangra (Punjab ),male,0,1
"Hembrom,Shri Lal",Congress,Santhal Parganas cum Hazaribagh-ST (Bihar ),male,0,1
"Hifzur Rahman,Maulana Mohammad",Congress,Moradabad Distt. (Central) (Uttar Pradesh ),male,0,1
"Himmatsinhji,Maj.Gen. M.S.",Congress,Halar (Saurashtra ),male,0,1
"Hyder Husein,Chaudhri",Congress,Gonda District (North) (Uttar Pradesh ),male,0,1
"Ibrahim,Shri A.",Congress,Ranchi North - East (Bihar ),male,0,1
"Iqbal Singh,Sardar",Congress,Fazilka-Sirsa (Punjab ),male,0,1
"Iyyani,Shri V. Eacharan",Congress,Ponnani (Madras ),male,0,1
"Iyyunni,Shri Chalakka R.",Congress,Trichur (Travancore-Cochin ),male,0,1
"Jagjivan Ram,Shri",Congress,Shahabad South-SC (Bihar ),male,0,1
"Jain,Shri Ajit Prasad",Congress,Saharanpur Distt.(West) cum Muzaffarnagar Distt.(North)-SC (Uttar Pradesh ),male,0,1
"Jain,Shri Nemi Saran",Congress,Bijnor Dist. (South) (Uttar Pradesh ),male,0,1
"Jaipal Singh,Shri",Jharkhand,Ranchi West-ST (Bihar ),male,0,1
"Jaisoorya,Dr. N.M.",PDF,Medak (Hyderabad ),male,0,1
"Jajware,Shri Ramraj",Congress,Santhal Parganas cum Hazaribagh-ST (Bihar ),male,0,1
"Jangde,Shri Resham Lal",Congress,Bilaspur-SC (Madhya Pradesh ),male,0,1
"Jasani,Shri Chatubhuj Vithaldas",Congress,Bhandara (Madhya Pradesh ),male,0,1
